EMP_basal_01	EMP_basal_02	EMP_basal_03	EMP_4day_01	EMP_4day_02	EMP_4day_03	EMP_8day_01	EMP_8day_02	EMP_8day_03	EMP_11day_01	EMP_11day_02	EMP_11day_03	EMP_14day_01	EMP_14day_02	EMP_14day_03	EMP_17day_01	EMP_17day_02	EMP_17day_03
100131754	77.9161788098315	140.156831771541	133.976829311528	21.8172213963617	106.843127955225	85.9231367752635	51.3521319440862	107.782638077711	110.017272378882	82.7016878263448	122.54790388393	117.493257845221	72.0461529464465	137.687011866694	122.356785271122	56.0800640415504	116.153884420549	110.316733576515
9636	63.9947661319289	695.041578177285	597.783632864715	77.059155238403	81.9053140853714	93.3765664053176	21.3335758133207	68.9555413035915	52.6784670316433	12.5749147217853	165.514993647617	42.1409151471525	13.2637269022747	123.04419580485	63.8670981942571	62.871534626918	35.5110192100535	43.9164122668973
375790	371.140488774239	486.667936344945	595.194387897842	563.722968447497	409.410310222335	430.748605180086	521.973145924282	514.603049678349	429.832989286631	202.462780414777	342.099252798379	450.704137094266	309.888892171326	392.627904441539	398.176610892434	359.947941024483	171.610520147263	196.855520179794
51150	71.3563508464219	72.823495661575	96.134018257231	83.136375683072	90.5085692199597	90.6337043014577	79.9717650706995	99.1415928015715	94.7879525261322	76.3144295549618	101.522849289199	95.9528272402635	81.2403272764323	101.553218619025	100.681681997942	87.8184216286148	92.8448894324526	104.008298665248
1855	98.3245324737724	120.341773159986	140.283964487244	107.931435097322	113.004918794863	99.0411729241587	92.2706298155374	101.733906384413	96.702020048609	135.396568565255	147.764869675118	118.354875069419	125.703957232921	129.725328608733	136.917159988984	165.214289388596	151.195595006681	159.004910712192
54998	55.1754418700116	79.5126555750298	82.191929974069	44.7283424727639	65.6870155546272	116.452384539965	43.8329207967683	68.6675064610536	81.3062595417306	37.3920744637215	66.9395819184269	82.7935823615988	42.0520432469845	72.2675864953372	76.1937790633559	49.9610162864172	61.1665573177573	72.7087562208851
81669	133.310281611957	148.991571279877	141.014264349695	79.6723600296106	121.724434133973	72.3280811300449	56.3649393756315	110.374951660553	69.5721934256774	122.289382320854	125.102349769271	96.9711021415888	71.1418079303823	110.015986837278	137.661724605238	70.0664589104262	174.504589994778	172.268799499984
29101	71.2105768916795	126.652301380226	114.125951232169	73.1697341538148	114.632561658163	127.781597577647	65.1082081515826	95.6275677226082	122.333880784385	76.5140313759425	123.923374745268	120.939726742014	77.0954126194715	117.365232921549	118.303044582626	88.6925713079196	134.378702649497	143.07206869271
728642	71.9394466653916	71.8138111463365	88.5654560463717	70.3134405448204	80.9752324491997	90.0970573680938	77.1739190623952	85.3159203597486	98.2832062628289	81.104873258499	78.336340483795	85.5350917113206	71.4432562690704	84.0152450088319	83.0603194132566	79.480378533708	112.555851637152	105.544968707737
2782	454.304529954798	420.15496890361	439.175780919602	460.957170728144	453.41479763371	382.390753740295	443.400303857734	404.112884080781	408.611805885258	443.847915920793	488.881643286828	419.294272830311	488.270946589986	476.309092810177	482.477871332781	510.167201298852	483.075010223106	524.489748712392
127262	47.3765352912913	52.9453317678175	56.5650438916856	54.0264897531074	66.5008369862774	37.6845402095535	46.8056321805916	55.3602967357991	42.2759261486174	70.5259767465209	81.7422683309165	56.5534214428329	78.3012059742238	72.7129953489294	66.9280860610803	82.0355852885988	86.5874411135004	87.9945792751091
