iPrEC_basal_01	iPrEC_basal_02	iPrEC_basal_03	iPrEC_4day_01	iPrEC_4day_02	iPrEC_4day_03	iPrEC_8day_01	iPrEC_8day_02	iPrEC_8day_03	iPrEC_11day_01	iPrEC_11day_02	iPrEC_11day_03	iPrEC_14Tday_01	iPrEC_14Tday_02	iPrEC_14Tday_03	iPrEC_17Tday_01	iPrEC_17Tday_02	iPrEC_17Tday_03
100131754	31.1485434058284	90.2437148813262	96.6244672374761	49.99209973333	89.6477870443768	90.6475077396484	66.863841758369	91.5876595382022	97.8002878105432	49.6417888585572	98.7184300542622	89.1655468522988	111.545948838601	119.976124088455	126.833836446527	114.523702638141	96.0843360524536	149.775972726456
9636	58.9101685447128	296.523612226108	193.438642198586	90.5917443652465	48.3438066331333	180.321059141342	49.7591380527397	511.070286794309	455.047216378256	24.7095899699545	216.752592761204	148.958913565017	14.379879625853	26.1826348148838	188.163187077031	8.76540499447861	105.573162600372	63.8750471921651
375790	486.161579432145	769.944055479538	685.034590041609	605.586117224202	430.804365594235	462.698828838374	419.707512270935	521.938193656347	583.588202217284	431.972606636907	381.109814913642	352.233049134179	314.843680229203	233.102782529134	505.6427234136	376.420896725507	328.440979419134	259.285886608713
51150	93.1124907158185	158.883994038409	147.719080802843	101.877839608074	137.936595035152	117.222602103843	85.793948626259	132.644196572569	127.874027893636	106.128801965548	136.482422336297	132.815870115287	86.9196772526256	117.324718031251	124.633427362268	81.1004761171386	109.879016664134	113.226780852491
1855	80.8973756547094	101.613944209875	96.6244672374761	100.817401128882	145.856399534777	61.0809760517355	83.5629003168291	119.500531436001	101.256342618479	113.864461888574	116.241385125405	151.52315151371	65.728275698737	157.371997020261	135.861155766564	148.19268817768	147.674846779373	129.608527869447
54998	33.3139501666614	67.8024727855057	68.990375494821	36.206399503836	69.4632852988024	88.3517535144693	37.5897836376675	66.9258708897309	63.4216373526523	40.4035187346553	67.8942219588189	67.6609149643915	26.9549970314572	71.7536764230676	44.6288098884353	30.8837166627891	63.6309544978074	46.8049914770175
81669	84.3953404222088	157.148537982999	160.745677825697	91.2734548161556	100.26252501957	89.5344147819858	80.9262068602302	73.1958171562914	97.0120647841718	74.7965966658081	96.0581794494021	90.2145532858553	125.809392192179	219.735276990734	160.347759422166	147.291571776379	131.169072868287	201.399125090814
29101	57.9662732899908	114.899159530601	114.20404962754	63.5505631458544	125.286907292693	110.891885907137	56.3846754565012	106.171090113758	100.225589430147	68.7305036326436	109.475095543479	130.018519625803	59.3824988597978	146.600659912873	98.4542013341588	53.4116266953276	102.702593224531	128.713726561798
728642	76.1223761308212	83.900323782241	80.1831311892145	71.2766149228236	81.5079879753168	84.2472232330884	80.4529541885329	76.0753480342673	67.3021199440192	74.0731176802014	73.7930385174215	81.8225018174036	87.3854223417221	147.926362941474	92.0786570643823	99.9420008716253	115.699893454033	130.434498307277
2782	509.481344548808	474.61730949854	502.97841126105	496.663936290068	532.166863460975	345.058816875408	425.048506708661	481.067432807656	463.23260934442	532.202272258276	432.348554824642	516.693946661753	322.99421928839	449.634277200747	406.737156113439	408.041890443906	482.415131217713	408.373550636978
127262	38.199996191105	65.887486793329	65.8285801009245	56.1274937915114	82.277968968336	55.2372380240068	54.018412098015	75.100023059469	72.7590485881288	70.956592819126	84.5497040066381	100.47150508063	75.1596137529402	111.745717785886	79.7789344908313	68.6486858446082	74.9537559247356	105.24239995347
57470	48.9159834947144	72.649781078203	73.2271813226423	57.1879322707033	74.5781590381442	54.1241450663442	46.5139768753871	49.4164653897805	51.7195570380616	58.5461456044867	53.0893490274239	86.4847526332101	66.6597658769299	100.532479668963	65.504485816022	46.3665348306065	58.527720051868	95.5372473089711
6146	133.422370417479	171.092029738536	179.906157912709	133.918230800799	191.450274049985	226.653553504048	133.66007599221	145.694973616298	161.525087865646	108.299238922368	153.889714337664	114.807926339234	73.8788147579249	91.3630337211346	87.2828936756124	90.6031581672275	124.391339619774	69.2438550380583
23463	81.452608157487	82.0451811023198	81.5743211625289	81.5022716864593	82.8829540342797	143.31071829906	95.1913945356759	94.1885261376643	82.3389899855658	83.7009534117377	91.373825123453	69.3509808851213	63.3413321171177	65.346111784826	56.4207457502343	83.7219056481976	89.1471267275047	57.0607910800699
11332	65.5729585780451	72.2308778924143	64.0579746803425	59.990519679996	115.387151668161	103.65678168233	53.274729328205	122.844502778167	73.3653739930299	61.6626704655621	95.3063694958548	125.589381350787	80.3992460052753	122.903718276617	83.1641792358453	77.16833182055	164.419834805111	92.7151816463862
54626	94.3895254722072	134.228549389134	147.023485816186	216.859668994733	245.898929984913	73.7424084451476	272.661146422146	260.69043254966	177.895873797975	449.169145602483	233.755064018352	336.031727549252	243.351809052897	622.63852243327	461.521700236916	425.408861087172	360.814622935562	668.62306942316
8718	27.5950553880512	62.2370447457422	56.0270143798454	23.1781553309076	44.8238935221884	32.9058105609008	27.6514775320252	58.6588306271549	52.6896776859033	26.100895711506	58.4676817720323	47.846348997214	44.0129109196148	62.4737552228556	62.9091315115112	118.865445298958	120.005747517795	49.2829027905067
57449	99.9973737502619	73.9064906355689	75.3772021904919	107.785996849286	72.9831984097472	56.0024894323998	135.079834007301	129.393113323241	87.7959186296755	116.146203304718	112.887156101886	116.731104800755	189.849341942942	111.856193038269	140.995443629835	382.892550880309	234.429832360343	111.643670846651
9903	37.0895311855497	65.1095237340072	66.7138828112155	65.2169664702987	91.2977463151322	29.6360999977669	40.9025523395482	71.8024957637224	74.8811875052826	65.7809354605545	67.0267489354949	148.725801024227	123.888193699657	245.420773169892	104.265538146433	73.4819465424983	108.92216020552	265.893650111351
11315	156.575565783308	205.801150846738	196.347493960971	118.996346486457	181.385522498377	316.953219694427	114.121501403566	218.519238401238	159.039153705552	117.370552357284	205.706769597546	143.772159532432	89.8305840594784	137.92835260077	109.343405263954	89.6201220930804	157.801577633034	107.72031126696
54206	1909.33353055192	301.670137080083	352.982837774602	806.539209031058	304.032494957862	207.66140491393	314.172166482447	209.509093395958	215.973109225762	313.15509630841	205.706769597546	153.679442516021	370.733090920777	299.38793395922	658.768627379735	161.709434197204	182.2811553659	297.074034139423
2023	758.225505793213	1183.76055972647	1019.80548634737	733.974918812073	1269.0936724227	2048.85629350759	463.381973116138	1741.93040498976	850.795808157187	421.732596379088	1117.3630855761	756.508472999798	567.917918016988	706.654951870904	571.654995941374	632.829472732218	1277.80206244031	514.166597549001
22883	416.646470084378	415.492116990085	424.755593216052	466.138457210474	437.734194531408	471.951414048945	437.353076172789	504.335900063559	451.46989648934	395.019526141299	426.334075196263	410.51118433176	347.504054602091	286.848992813695	393.929646828136	426.064218469937	406.345042757928	288.057190193115
56998	57.6886570386019	81.4467479797646	79.8037157419469	62.2628878496928	76.063122381824	115.274689427934	126.088033245054	120.940296874989	109.259837963173	150.094063398575	117.398015823171	90.3311095562505	66.3686751962446	64.7384978967169	104.096275909182	74.2192235981086	82.7680836700804	58.5750702160911
23095	157.686030788864	78.6939556160106	83.6611061225006	150.20353601696	84.8629051591861	66.2985992907789	166.449725388376	81.4164133724485	96.9514322436817	168.292342498068	90.4485205652408	110.961569416194	168.308631572231	111.856193038269	114.759796855977	186.776854087956	114.503822880766	143.650025312552
5226	80.009003650265	124.593776115995	128.242421176441	95.8939367612058	115.827140807029	119.30965139946	78.0190833055185	91.5412154917832	94.0410703001565	71.2905061970984	118.554646520936	93.594685127315	77.7212117429707	73.6869933397785	78.3684158470754	51.3636348741878	75.2727080776068	58.2309158669954
23435	147.525275988032	151.882326504513	133.743945161821	131.645862631102	88.8228074089991	161.189773931516	130.617737388442	97.1145010620592	124.47860562619	79.0818183497867	124.626957684203	80.8317735190448	171.394192787495	108.100034457231	85.1389053371035	126.647814219289	131.169072868287	80.5321176883978
2475	82.3409801619313	60.7409619393542	57.7976198004275	77.6392457979747	58.8485473236093	74.0206816845632	86.8756690187099	59.0768270449256	51.5376594165913	90.2122642821987	55.749599632284	59.3271416311374	111.487730702464	72.8031913207107	60.934405410253	101.580394328537	75.6713982686958	68.4867154700477
