EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
2706,472.5437024,612.0896679,913.1692708,696.603281,891.0532987,894.159863,175.225012,368.8975672,239.8591175,137.3849862,120.8193004,74.26077464
10804,72.7821959,96.42003068,146.0191949,115.2244625,88.55099831,88.46666095,20.82704584,46.31017604,32.69451019,24.95180504,24.52353159,13.56127589
51084,13.1017278,16.67731853,25.11768373,24.05732757,16.89848453,21.94570566,15.10945443,12.43055843,23.53604756,18.8626145,19.96246678,17.63943238
8100,8.931722419,10.27009881,8.747190689,6.280582192,5.925428484,8.035832244,9.598606184,10.1465145,9.194716709,8.808964772,7.683755601,5.426355431
53342,0.1586547,0.214527241,0.073709386,0.229015866,0.056625503,0.053158692,0.334069745,0.354153319,0.132516673,0.250785719,0.156158886,0.201151479
221143,5.096075445,6.774357718,3.895698057,4.210347169,4.437014283,3.509032647,6.110922816,9.167232733,5.713031972,5.257404951,4.729858973,3.697199576
64328,52.24367225,51.0756034,37.76773878,41.01858146,52.31342775,51.08766254,61.24982633,69.29360957,60.03158208,57.29217882,63.40735749,59.77006287
26524,30.09116235,25.33164672,22.24823429,27.81660401,36.63721155,34.56263356,34.26957821,26.27377739,26.72013558,28.57400395,30.5665055,29.25213349
10284,100.6384835,103.7239768,102.3172754,112.2112879,104.0999189,107.5671752,130.894071,121.3118925,121.5285991,123.5838193,131.7682957,139.9502923
221150,10.74845961,22.583693,3.516036864,2.446293459,0.544452461,1.040633299,27.12513262,33.24701478,32.300045,14.93887682,19.00067937,7.645367271
78988,17.71940539,19.31458253,16.2338842,16.87086646,17.08263649,14.68023527,31.01313442,30.18572016,24.87353601,25.08002675,22.66604362,23.99686478
650794,1.024007629,0.933315219,0.689356958,0.653149586,0.959872933,0.527626397,0.736645647,1.110959109,1.008142894,1.385270928,1.098588053,1.660234193
