study	sample	experiment	run	ftp
SRP069177	SRS1272355	SRX1556928	SRR3138576	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556928/SRR3138576/SRR3138576.sra
SRP069177	SRS1272360	SRX1556958	SRR3138637	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556958/SRR3138637/SRR3138637.sra
SRP069177	SRS1272356	SRX1556927	SRR3138575	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556927/SRR3138575/SRR3138575.sra
SRP069177	SRS1272338	SRX1556945	SRR3138611	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556945/SRR3138611/SRR3138611.sra
SRP069177	SRS1272340	SRX1556943	SRR3138606	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556943/SRR3138606/SRR3138606.sra
SRP069177	SRS1272342	SRX1556941	SRR3138602	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556941/SRR3138602/SRR3138602.sra
SRP069177	SRS1272347	SRX1556936	SRR3138593	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556936/SRR3138593/SRR3138593.sra
SRP069177	SRS1272337	SRX1556946	SRR3138613	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556946/SRR3138613/SRR3138613.sra
SRP069177	SRS1272348	SRX1556935	SRR3138591	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556935/SRR3138591/SRR3138591.sra
SRP069177	SRS1272358	SRX1556960	SRR3138640	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556960/SRR3138640/SRR3138640.sra
SRP069177	SRS1272346	SRX1556937	SRR3138594	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556937/SRR3138594/SRR3138594.sra
SRP069177	SRS1272361	SRX1556961	SRR3138643	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556961/SRR3138643/SRR3138643.sra
SRP069177	SRS1272359	SRX1556959	SRR3138639	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556959/SRR3138639/SRR3138639.sra
SRP069177	SRS1272361	SRX1556961	SRR3138642	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556961/SRR3138642/SRR3138642.sra
SRP069177	SRS1272341	SRX1556942	SRR3138604	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556942/SRR3138604/SRR3138604.sra
SRP069177	SRS1272351	SRX1556932	SRR3138584	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556932/SRR3138584/SRR3138584.sra
SRP069177	SRS1272338	SRX1556945	SRR3138610	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556945/SRR3138610/SRR3138610.sra
SRP069177	SRS1272344	SRX1556939	SRR3138599	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556939/SRR3138599/SRR3138599.sra
SRP069177	SRS1272345	SRX1556938	SRR3138597	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556938/SRR3138597/SRR3138597.sra
SRP069177	SRS1272333	SRX1556950	SRR3138621	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556950/SRR3138621/SRR3138621.sra
SRP069177	SRS1272337	SRX1556946	SRR3138612	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556946/SRR3138612/SRR3138612.sra
SRP069177	SRS1272347	SRX1556936	SRR3138592	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556936/SRR3138592/SRR3138592.sra
SRP069177	SRS1272342	SRX1556941	SRR3138603	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556941/SRR3138603/SRR3138603.sra
SRP069177	SRS1272360	SRX1556958	SRR3138636	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556958/SRR3138636/SRR3138636.sra
SRP069177	SRS1272359	SRX1556959	SRR3138638	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556959/SRR3138638/SRR3138638.sra
SRP069177	SRS1272357	SRX1556962	SRR3138645	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556962/SRR3138645/SRR3138645.sra
SRP069177	SRS1272335	SRX1556948	SRR3138617	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556948/SRR3138617/SRR3138617.sra
SRP069177	SRS1272341	SRX1556942	SRR3138605	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556942/SRR3138605/SRR3138605.sra
SRP069177	SRS1272346	SRX1556937	SRR3138595	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556937/SRR3138595/SRR3138595.sra
SRP069177	SRS1272344	SRX1556939	SRR3138598	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556939/SRR3138598/SRR3138598.sra
SRP069177	SRS1272358	SRX1556960	SRR3138641	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556960/SRR3138641/SRR3138641.sra
SRP069177	SRS1272335	SRX1556948	SRR3138616	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556948/SRR3138616/SRR3138616.sra
SRP069177	SRS1272336	SRX1556947	SRR3138615	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556947/SRR3138615/SRR3138615.sra
SRP069177	SRS1272350	SRX1556933	SRR3138587	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556933/SRR3138587/SRR3138587.sra
SRP069177	SRS1272340	SRX1556943	SRR3138607	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556943/SRR3138607/SRR3138607.sra
SRP069177	SRS1272362	SRX1556957	SRR3138634	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556957/SRR3138634/SRR3138634.sra
SRP069177	SRS1272357	SRX1556962	SRR3138644	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556962/SRR3138644/SRR3138644.sra
SRP069177	SRS1272348	SRX1556935	SRR3138590	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556935/SRR3138590/SRR3138590.sra
SRP069177	SRS1272345	SRX1556938	SRR3138596	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556938/SRR3138596/SRR3138596.sra
SRP069177	SRS1272353	SRX1556930	SRR3138581	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556930/SRR3138581/SRR3138581.sra
SRP069177	SRS1272354	SRX1556929	SRR3138579	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556929/SRR3138579/SRR3138579.sra
SRP069177	SRS1272343	SRX1556940	SRR3138600	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556940/SRR3138600/SRR3138600.sra
