"V1" "V2" "V3"
"1" 22.9504887068394 22.9359493257075 22.943159959434
"2" 21.0952023192426 21.0913069897554 21.1018417575891
"3" 25.2573556180762 25.2482605190422 25.2583599425826
"4" 22.1505226373135 22.1414204599554 22.1493745094309
"5" 21.3316153885458 21.3262016763612 21.3161386330962
"6" 20.2973340388668 20.2924028906007 20.2880534030709
"7" 22.4861981633164 22.4758567562247 22.4821593565712
"8" 21.9909815630334 21.9946626180437 21.9976992107672
"9" 22.7159271602739 22.7181224029216 22.7144378764876
"10" 22.3686700384765 22.3715510580925 22.3672518968073
"11" 44.2111767070932 44.2183562185141 44.1994328493581
"12" 43.1548203199115 43.1670730338407 43.1474313271872
"13" 44.2796648663464 44.2881670675995 44.2843708095689
"14" 42.6563729644073 42.6519402504654 42.6581352381668
"15" 43.5489273446026 43.5608052594444 43.545627807259
"16" 42.2139629110844 42.2137175811806 42.2130157204241
"17" 44.8193235833011 44.8261188572219 44.8195845102194
"18" 44.1323996976043 44.1429827984544 44.1318658912365
"19" 45.6611751118312 45.6554499157313 45.6643116112505
"20" 43.7926467078864 43.7954401168231 43.7926513188578
"21" 16.7676139794464 16.7666663121922 16.7693338188563
"22" 17.094854920468 17.0932720700929 17.0948199167945
"23" 14.7458121353295 14.7463356678626 14.7507949908239
"24" 16.7099874935118 16.7111381655477 16.7048371642176
"25" 16.2969536802153 16.2823726391257 16.2718176562856
"26" 13.8211155368577 13.8291652448842 13.8267809577954
"27" 15.3116769796899 15.3083656597929 15.3065357735779
"28" 16.5034332151699 16.5081663613729 16.5058226005318
"29" 15.3919883952891 15.3973920885333 15.3926566908574
"30" 17.1906700434119 17.1832220031341 17.183674971755
"31" 16.4918922183216 16.4960704680634 16.4876583129314
"32" 17.3724134848536 17.3784156621896 17.3663350102974
"33" 18.5395876283996 18.5419728935765 18.5416964002226
"34" 16.6639704951516 16.6448588482347 16.662866240207
"35" 17.5405678852633 17.544119171271 17.5456456951459
"36" 17.3996056826337 17.4077932076809 17.4021447637705
"37" 18.2670076692326 18.2540559077415 18.259280764698
"38" 20.567433684176 20.5624310361865 20.5626020627139
"39" 15.500192694391 15.5076068756692 15.503956655183
