Time_point_1	Time_point_2	Time_point_3	Time_point_4	Time_point_5	Time_point_6	Time_point_7	Time_point_8	Time_point_9	Time_point_10	Time_point_11	Time_point_12	Time_point_13	Time_point_14	Time_point_15	Time_point_16	Time_point_17	Time_point_18	Time_point_19	Time_point_20
-0.53061	-0.633132	-0.00391725	-2.41765	-0.657327	-0.909989	-1.25605	-1.39671	-1.0072	-2.20112	-0.945413	-0.852949	-0.0796544	1.05345	5.15934	7.01353	8.83519	9.31234	9.12529	7.69753
-0.859873	-1.57592	-0.00829317	-0.00580372	1.54109	-0.586328	-0.124636	-0.541908	-2.11954	0.904724	1.13615	-2.32418	-1.17801	0.81284	4.41831	6.21264	8.59222	8.76359	8.64114	11.1706
1.1957	0.543138	-0.284086	1.38124	-1.11833	2.30962	-1.1472	-1.34754	1.35563	-0.564922	-0.358426	0.409382	1.57367	1.15459	4.96836	8.45581	10.4729	12.3091	11.118	11.2622
0.996679	2.4651	2.47728	-0.905474	2.55812	-0.0645449	-0.491441	0.1204	1.81558	3.29861	1.29995	2.61952	3.84804	4.47466	5.99203	9.32621	9.89532	10.467	9.62827	12.4282
1.9498	-1.19828	-0.447606	-0.5578	-1.56424	-0.949277	1.79369	1.00999	1.00479	1.69825	1.13731	0.958455	3.63698	2.2132	5.29793	8.15084	10.7902	9.56312	10.1937	9.2284
-0.200912	0.887467	0.978571	1.68112	0.986944	0.465453	2.65674	1.25351	2.07318	-0.191664	1.60626	-0.940287	1.41664	3.3731	5.36109	8.82793	10.0735	9.81987	9.80287	10.985
1.57941	0.625207	0.920613	2.13945	-0.364899	1.3462	0.367675	1.66892	-0.194877	1.17622	0.730696	1.37935	1.93787	2.78903	8.16345	10.0593	10.6962	9.08265	10.1631	10.387
-0.761637	-2.41685	-2.55454	-2.23832	-1.58252	-2.30893	-2.35276	-1.08736	-3.08287	-0.64953	-3.05338	-0.30466	-0.707425	0.0111738	1.86301	5.59596	7.45104	7.55536	8.12359	9.08827
1.53534	0.733956	-2.49537	-1.54217	-1.33078	-0.857793	-0.57117	-0.245062	-0.321001	-1.50858	-1.74557	0.0158992	0.70581	1.59075	5.03228	6.50086	9.12855	9.29729	9.46059	8.94664
-0.392058	-0.61872	-2.70398	-1.67131	-2.68586	-1.23747	-2.60337	-2.22095	-1.00752	0.503051	-2.97709	-0.417102	-0.289311	2.07278	1.88332	7.77489	8.1922	7.51157	8.58821	8.77771
0.395793	0.0520506	0.779328	2.93732	4.76337	7.0949	8.38475	8.6502	12.2776	10.9078	0.863118	-1.79077	-1.19625	-2.00352	-5.45353	-9.71166	-8.39753	-8.69032	-8.45187	-11.9928
0.0563288	0.426489	-0.186512	1.51707	4.08822	8.41043	9.75691	10.9971	10.8866	10.316	-0.364673	-0.112623	-1.12314	-3.97273	-3.17804	-8.16374	-8.7594	-9.1908	-8.81373	-8.81259
-5.79497	-3.95829	-2.89097	-2.7256	1.12893	4.24434	5.19447	4.53939	6.30626	5.80295	-3.44195	-6.53266	-6.0393	-6.28383	-8.21664	-12.0414	-14.5588	-13.206	-14.9355	-14.638
-1.55043	-2.1932	-0.554868	0.853665	1.94152	6.76302	7.23045	7.01638	7.93855	9.53627	-0.192189	-1.92962	-2.04401	-3.18849	-6.22754	-10.4966	-11.3093	-10.495	-9.75247	-12.1604
1.28458	-0.496969	2.35515	2.17925	5.40567	9.28785	7.33186	11.8209	9.02725	9.53458	0.0904518	-0.356275	-1.12662	-2.25875	-4.51589	-7.45113	-8.98628	-10.0607	-9.47874	-10.4176
-0.239648	1.11806	-0.0991146	0.57474	2.85006	7.82772	8.70184	7.92132	9.74456	8.22021	0.760612	0.743115	-3.55235	-4.0063	-6.02179	-8.15046	-9.70599	-10.6879	-10.1714	-10.0044
7.10372	6.71182	8.0185	8.58044	11.9942	13.1937	16.0343	15.6297	15.995	15.2782	6.07195	3.94919	3.25548	3.62436	1.27983	-2.50309	-3.56711	-3.57103	-3.93675	-5.74771
-0.377392	0.226798	-0.0189898	3.21187	5.37191	7.84965	10.5181	8.67327	9.50907	9.4532	-2.35895	-0.487379	-2.74891	-2.81367	-5.6669	-8.71004	-9.86616	-10.0287	-10.6752	-8.75775
-2.19451	-4.91819	-2.55706	-0.450594	2.03704	3.91793	6.04303	8.91717	7.94822	7.64826	-4.19021	-4.29698	-3.73045	-4.6524	-8.50001	-10.952	-11.3911	-12.006	-14.3259	-14.5105
-1.79635	-0.534554	-0.443029	1.90182	4.37317	6.98605	7.68344	8.63166	7.73397	9.27115	-1.89798	-1.70686	-2.3115	-3.15221	-6.92589	-8.97223	-11.6423	-11.1721	-10.0899	-11.2696
-1.04259	7.73045	9.2341	8.84502	4.18341	2.65076	0.874192	0.0644897	-0.812894	0.524076	0.46144	-0.0191349	3.33263	7.64736	10.7852	11.061	7.07827	4.17144	2.63797	-0.455977
1.55272	5.8308	11.1858	9.31964	4.90326	4.00763	0.409163	-0.83129	0.978778	-2.23697	-1.06009	-1.66064	3.8816	8.64749	10.048	9.37309	7.19484	6.86489	3.99265	0.173698
-2.35142	2.83119	7.2189	7.3243	4.21239	1.13616	-0.646567	-2.75823	-5.06032	-1.12846	-2.94121	-4.44545	-0.610485	5.43805	8.27747	6.7434	3.75225	0.968639	-0.922891	-2.11659
-0.624262	4.44037	8.60695	7.71049	1.64522	0.0227509	-0.761444	-3.35042	-0.770708	-2.48768	-4.80202	-3.82429	1.11992	7.46777	7.42602	6.96007	3.8154	2.10029	1.50595	-2.55381
2.13445	7.04058	13.874	12.0193	9.08268	5.44094	3.97772	2.64305	0.915326	3.80988	0.619556	3.59054	5.18579	10.0647	12.9513	13.8718	10.8605	7.48939	4.75014	3.7665
