Time_point_1	Time_point_2	Time_point_3	Time_point_4	Time_point_5	Time_point_6	Time_point_7	Time_point_8	Time_point_9	Time_point_10	Time_point_11	Time_point_12	Time_point_13	Time_point_14	Time_point_15	Time_point_16	Time_point_17	Time_point_18	Time_point_19	Time_point_20
-0.541025	-0.625784	-0.0140646	-2.42981	-0.667896	-0.905562	-1.25966	-1.3924	-1.01928	-2.21013	-0.952159	-0.855073	-0.0872763	1.04981	5.15518	7.00871	8.83663	9.30959	9.12627	7.69492
-0.864108	-1.5799	-0.0195574	-0.0151059	1.53763	-0.588539	-0.137872	-0.553088	-2.12885	0.894325	1.13046	-2.33206	-1.18923	0.804821	4.40511	6.2048	8.59382	8.7611	8.63506	11.1643
1.18478	0.527426	-0.290419	1.37704	-1.14092	2.30725	-1.16353	-1.35695	1.3351	-0.581054	-0.364528	0.404087	1.55716	1.13886	4.95037	8.44668	10.4662	12.3046	11.109	11.2463
0.988709	2.4641	2.48092	-0.908366	2.56175	-0.0641969	-0.486603	0.114818	1.82248	3.29611	1.29674	2.6185	3.84722	4.48379	5.99654	9.33002	9.89628	10.4693	9.63034	12.4341
1.94621	-1.2026	-0.439351	-0.565871	-1.56386	-0.95092	1.79973	1.01081	0.998584	1.7016	1.13493	0.958549	3.6329	2.21515	5.29818	8.14713	10.7839	9.55654	10.1926	9.22457
-0.189685	0.902236	0.983827	1.69436	1.00806	0.491432	2.66356	1.27816	2.09087	-0.175122	1.61935	-0.932286	1.42463	3.38687	5.37477	8.84732	10.0922	9.83993	9.81791	10.9973
1.58536	0.62746	0.919233	2.1308	-0.355565	1.33926	0.359456	1.66621	-0.203454	1.17305	0.735761	1.38242	1.93648	2.78069	8.16068	10.0635	10.6907	9.08671	10.1662	10.3781
-0.761671	-2.40895	-2.55323	-2.23307	-1.58149	-2.30171	-2.34974	-1.08	-3.08225	-0.640954	-3.04777	-0.304585	-0.704237	0.0167982	1.87474	5.6059	7.45907	7.55878	8.12942	9.09275
1.53085	0.735759	-2.49809	-1.54106	-1.32852	-0.852928	-0.566832	-0.233448	-0.328249	-1.50953	-1.74854	0.0200703	0.70059	1.575	5.03006	6.50256	9.13247	9.29417	9.46462	8.95234
-0.399006	-0.623494	-2.6964	-1.65685	-2.67708	-1.24362	-2.61001	-2.22167	-1.02024	0.50589	-2.98124	-0.429109	-0.295309	2.06908	1.88863	7.7666	8.19181	7.5077	8.5841	8.77194
0.39008	0.0478852	0.771086	2.9265	4.74524	7.08944	8.38115	8.64838	12.2632	10.8983	0.860938	-1.79212	-1.19624	-2.00893	-5.45996	-9.71175	-8.40017	-8.70219	-8.44002	-11.9938
0.063231	0.421995	-0.192345	1.51544	4.08558	8.40281	9.76457	10.9902	10.8788	10.3079	-0.369387	-0.115217	-1.12584	-3.96912	-3.17199	-8.16519	-8.75494	-9.18555	-8.80871	-8.8093
-5.80332	-3.97006	-2.89808	-2.72318	1.12575	4.24345	5.19351	4.53307	6.30129	5.79866	-3.44095	-6.54215	-6.03864	-6.28343	-8.22696	-12.0415	-14.562	-13.2078	-14.9399	-14.6339
-1.54166	-2.1862	-0.555666	0.859499	1.95185	6.76773	7.23727	7.03491	7.9409	9.53697	-0.184625	-1.92093	-2.03682	-3.19182	-6.22675	-10.4899	-11.304	-10.498	-9.74126	-12.1573
1.28677	-0.500285	2.34668	2.17487	5.40404	9.28732	7.32929	11.8156	9.02763	9.52802	0.0829545	-0.352334	-1.1381	-2.2519	-4.51108	-7.44483	-8.98317	-10.0625	-9.47652	-10.4115
-0.235951	1.12928	-0.0934493	0.578961	2.86785	7.83218	8.70851	7.93631	9.75526	8.21769	0.764591	0.746322	-3.54518	-3.99641	-6.01991	-8.13941	-9.69527	-10.6817	-10.1584	-10.0025
7.11465	6.71778	8.02295	8.59412	11.9976	13.1966	16.0313	15.6419	15.9953	15.2737	6.07707	3.95738	3.26105	3.62573	1.27949	-2.4966	-3.56934	-3.56319	-3.92835	-5.74089
-0.37538	0.236397	-0.0191302	3.21223	5.37348	7.84271	10.5138	8.67421	9.5057	9.44993	-2.35567	-0.488073	-2.75599	-2.80772	-5.65283	-8.71673	-9.86601	-10.03	-10.6718	-8.75255
-2.18036	-4.91368	-2.53847	-0.438396	2.04292	3.91554	6.05484	8.93096	7.95416	7.66514	-4.18097	-4.2888	-3.72387	-4.64873	-8.49829	-10.9417	-11.385	-12.0006	-14.3196	-14.5036
-1.79412	-0.535418	-0.448627	1.90688	4.3663	6.98683	7.67305	8.62856	7.72723	9.27765	-1.90159	-1.70857	-2.31898	-3.15531	-6.92914	-8.96526	-11.65	-11.178	-10.0877	-11.2693
-1.04984	7.72113	9.2212	8.83111	4.16535	2.64377	0.871225	0.0656959	-0.819574	0.511208	0.445892	-0.0290056	3.31888	7.6449	10.7831	11.0584	7.07351	4.16092	2.62774	-0.458324
1.56367	5.84628	11.1882	9.33017	4.90995	4.01984	0.411992	-0.8275	0.988154	-2.22991	-1.04755	-1.64117	3.89286	8.6634	10.0629	9.38075	7.20548	6.8817	3.99542	0.171567
-2.34272	2.83854	7.22419	7.32895	4.21902	1.14239	-0.651361	-2.75448	-5.05132	-1.1286	-2.93554	-4.44576	-0.605401	5.43863	8.27598	6.75881	3.75289	0.980133	-0.92961	-2.10906
-0.631154	4.43735	8.60601	7.707	1.64214	0.032413	-0.764242	-3.34383	-0.764188	-2.48781	-4.80008	-3.82554	1.1244	7.46607	7.4243	6.96121	3.82374	2.10358	1.51499	-2.54863
2.11145	7.02501	13.8579	12.0011	9.06748	5.42765	3.95944	2.6314	0.8993	3.79592	0.6027	3.56459	5.17264	10.0429	12.9261	13.8444	10.8482	7.46332	4.73562	3.74597
2.95662	8.47931	12.7422	12.218	11.6644	7.69016	3.85225	4.18404	1.56018	3.29514	2.03036	2.93903	6.38724	10.4936	13.6916	13.5683	9.71625	7.86261	6.24219	6.08183
-2.53618	4.77771	10.5644	9.52013	5.71406	2.25904	-0.350393	-2.15499	-0.212504	-1.45204	-3.16873	-1.56933	2.39121	7.72027	7.52401	8.62269	5.43784	4.53485	0.670794	-2.32062
-3.54544	0.970024	5.66755	5.28431	2.07763	-1.40075	-2.99139	-3.05626	-3.41544	-5.34869	-4.91746	-4.17166	-2.13173	1.84737	8.26884	7.15589	3.84981	0.262137	-2.23796	-4.49196
2.31193	7.8067	10.6562	11.2779	6.03211	4.39895	2.61754	1.78305	-0.211037	1.87155	-0.10081	1.74955	4.99084	9.38401	12.3574	10.735	8.53126	4.95336	5.50958	0.956433
-0.989513	5.97749	9.51505	9.22933	5.72456	3.26412	1.5862	-1.13656	-0.198283	-1.15253	-3.26464	-1.27715	0.596933	5.96037	12.2969	8.93649	7.64541	3.53772	2.38797	1.42239
8.32797	8.12198	1.54546	-6.40807	-8.34171	-2.02898	7.52161	9.20869	3.24775	-5.89216	8.26255	3.44032	-6.74648	-11.4506	-4.3939	3.17722	10.3604	6.64379	-4.77247	-11.7305
7.83571	9.87664	1.90953	-8.7834	-10.096	-3.72446	5.54185	9.05043	2.95479	-5.38572	10.4729	2.08307	-4.24492	-10.6112	-6.74776	4.20125	9.50814	5.57055	-4.65537	-11.121
17.1091	16.0092	9.22617	-0.184623	-2.29229	4.50641	13.3364	16.1334	12.4434	1.58108	17.9384	9.47202	0.694256	-1.44814	2.47461	12.6067	15.7434	12.3887	4.06322	-5.31837
12.1249	13.3817	5.47789	-5.29877	-5.87202	-0.214599	9.60966	14.7853	6.86	-0.152946	13.6842	8.90235	-1.50436	-7.56527	-0.68895	8.5001	13.8031	10.7321	0.31531	-4.80156
13.2038	13.9189	5.78039	-1.29865	-3.62297	2.53026	13.8843	15.3084	10.5696	-1.07987	16.3335	8.81686	-1.18511	-5.88611	1.90357	9.88488	14.9887	11.04	1.31601	-4.65196
14.5226	16.1244	8.8353	-0.34311	-0.552516	3.46399	12.9741	17.8212	11.2523	1.11355	16.5997	10.6724	0.933386	-4.76492	2.03931	11.972	17.4128	13.6492	4.58837	-4.00347
3.75789	4.67601	-2.58995	-11.3883	-14.4735	-6.77317	1.59053	5.69648	1.19348	-9.7482	5.14753	-1.99102	-11.4049	-13.7259	-9.64896	1.11946	6.43026	0.716099	-6.88626	-11.9335
7.87301	8.50202	1.74549	-5.63724	-10.4176	-3.28845	6.12074	9.57702	5.18553	-5.66546	9.60833	0.946779	-7.92308	-8.95721	-4.96468	3.84888	9.98873	4.33596	-5.61534	-9.96194
7.79867	10.2668	-0.125827	-6.89656	-10.0352	-1.39144	7.77494	10.06	5.87794	-6.46073	10.0247	5.58214	-4.50156	-8.67236	-5.17974	7.70239	11.1492	6.1864	-1.67036	-7.69765
-0.294302	1.3551	-6.17442	-16.6904	-18.1531	-10.8392	-1.99405	1.57308	-5.24594	-12.041	2.92211	-2.98724	-12.8143	-17.2507	-13.1827	-3.66032	0.859596	-2.11646	-10.9774	-17.3056
4.35607	6.11804	-4.00798	-11.4604	-13.1702	-7.45652	2.22904	7.38703	0.848927	-7.45295	7.24309	0.17592	-12.6139	-13.7253	-7.82572	0.866471	5.56161	2.5764	-6.39729	-14.6247
7.4633	7.85771	-0.285618	-8.13277	-12.0526	-3.99111	7.20915	8.92439	1.61079	-6.39858	9.18307	2.64795	-8.08702	-12.2405	-5.71773	4.3814	10.0482	6.60974	-3.40741	-8.0465
7.63676	6.32051	0.997411	-9.11407	-11.8235	-4.8609	4.57582	9.14608	1.35799	-6.13734	7.45951	2.96016	-7.44397	-12.3965	-7.37903	2.64247	8.64713	4.24141	-4.79695	-9.99105
11.65	10.8123	4.69393	-3.19649	-5.62488	1.15074	11.3531	14.4856	8.10611	-2.42122	13.2344	7.0521	-4.53977	-6.90889	-2.46658	7.74849	13.7774	8.59309	-0.11066	-5.63777
16.7584	17.825	10.1296	-0.648142	-2.52057	4.87544	15.3193	19.0724	12.1056	2.39484	18.2109	11.6932	0.958087	-1.07309	3.67237	10.5918	18.6	14.0658	4.2058	-1.86199
7.84487	10.3796	1.2897	-7.91241	-10.0836	-2.89569	6.8469	10.5764	4.50274	-5.44884	9.95609	3.49927	-6.61905	-9.80319	-5.83678	5.55277	9.83935	5.20259	-3.11025	-9.22228
