EntrezID	iPrEC_basal_01	iPrEC_basal_02	iPrEC_basal_03	iPrEC_4day_01	iPrEC_4day_02	iPrEC_4day_03	iPrEC_8day_01	iPrEC_8day_02	iPrEC_8day_03	iPrEC_11day_01	iPrEC_11day_02	iPrEC_11day_03	iPrEC_14Tday_01	iPrEC_14Tday_02	iPrEC_14Tday_03	iPrEC_17Tday_01	iPrEC_17Tday_02	iPrEC_17Tday_03
64151	64.40697032	20.70578604	21.50020868	45.37161779	43.33893018	210.1658641	10.7495964	5.433953431	14.91560496	4.563482832	6.303637303	6.585429277	0.174654408	0.828564393	1.241256407	1.884152475	6.458781096	0.206492609
1665	211.5435836	121.5417672	139.371941	214.2843184	150.4212869	173.8512063	160.2298331	122.0085099	121.8107738	145.9757984	110.4004001	131.4171949	247.3688604	138.9226299	117.5808341	197.7540902	148.3127511	146.472091
23231	133.3668472	92.21854419	97.06711859	128.2373104	75.34814003	39.30609507	94.58292681	62.14213411	85.43124955	119.9862072	61.70624773	85.78541501	64.91322179	58.93854715	82.82565476	64.71654155	46.16832413	53.06860063
116984	63.29650532	27.22870708	29.97382033	72.10981659	34.86913926	28.59257535	108.1044317	53.54998552	51.71955704	105.2940185	47.88451089	65.09667702	65.32074875	85.12118196	76.78863497	155.9750571	77.66484922	105.5177234
55276	71.12528361	44.34389438	49.7666595	83.09292941	72.04822149	50.92400281	99.92392125	70.92005888	82.09645982	112.3061995	67.43156968	83.80395841	99.66944907	96.11346957	83.44628296	100.8431173	83.48572601	116.32417
23216	58.85464529	47.69511987	45.08720232	40.82688145	44.43890303	57.67212887	27.92190763	57.35839733	37.65280764	17.53045234	40.48207442	32.05297436	7.568357698	13.97511943	18.05463864	34.24242325	50.87286838	8.741520467
51274	223.7586986	77.01834287	96.49799542	196.4083555	94.15767572	53.42846197	157.1874945	88.80101675	87.97781625	183.3740967	84.66536708	99.30594238	66.13580265	151.2406205	139.2464005	110.673478	99.1143815	150.2577888
92689	76.67760863	54.2180409	62.73002061	93.47007738	88.5478142	31.65358098	89.17432485	65.11455308	84.1579662	116.0348988	80.67499117	98.31521408	75.50892257	105.6143413	90.83740066	134.1844241	88.6686985	110.9553621
51088	217.8177108	111.8471506	133.8071811	180.5017783	98.50256846	98.30002182	191.1264718	173.4220693	190.9925025	152.3201526	155.3355027	110.0291193	70.90968981	101.6372322	117.8065171	123.2891076	127.1024329	95.39958557
5981	189.6674229	88.8673187	97.1303545	154.5967811	100.3725223	116.0399408	157.1874945	112.4874804	102.5902585	115.3114199	91.25816205	100.9377302	72.36514322	87.99353852	82.14860581	138.6900061	112.8293241	88.58532946
6133	49.85987875	102.3919073	91.12294325	47.11376672	94.92765671	115.7616676	39.956047	65.81121378	90.22122025	55.98614304	74.77617461	91.26355972	33.94117337	74.68127061	52.86623877	36.2084954	55.97610283	48.86991757
7358	119.0973718	69.11902566	79.67724393	107.7859968	73.80817805	44.59328662	84.03615299	56.33662831	79.3679955	63.77745519	56.67490419	74.0132317	49.66007012	45.1291406	57.32347768	51.19979553	42.81932652	48.31927061
3093	272.1194496	169.3565737	188.759185	268.2909352	170.1108008	190.1301908	249.2689429	143.094107	177.0470182	206.6367287	151.4607899	147.5019602	189.2671606	131.962689	137.8923026	157.7772899	159.5558145	148.1928627
23244	252.5752655	162.2352195	173.0766799	264.1249269	203.4399781	153.6763965	209.7185411	156.6557686	181.8976215	225.2802257	158.5740687	202.9244668	196.2533369	233.6551588	180.3771242	251.9849137	210.5881589	229.4132891
323	74.40115537	53.91882434	50.77843403	51.27977503	27.77431439	35.41026972	43.47163827	31.39617538	30.61943295	47.63830859	20.87718409	20.10595664	30.33164893	12.92560453	21.49630413	24.90358055	34.04814232	14.52331353
55161	145.1377762	100.237548	114.3305214	137.4782743	108.6773173	87.37779718	143.5983821	66.60076256	108.2290848	139.9653576	83.85572559	111.0781257	167.4935777	164.5528884	111.4309729	107.7243698	115.0619891	168.4291384
57205	79.23167815	31.83664212	38.13125245	75.51836884	29.42427366	51.13270774	160.9059084	42.63563461	62.20898654	123.3809932	45.9182387	44.52449529	88.72443947	23.31027825	61.83713734	130.1703602	51.03234446	33.24531012
57606	145.8040552	78.39473905	86.75966561	162.0955961	103.4524463	79.72528309	169.4244565	89.63700959	106.5313736	183.429749	98.02445164	134.3311016	140.24749	130.1950849	121.3046034	154.0089849	102.4633791	158.9304784
285527	135.5322539	56.01334027	68.35801642	127.0253807	53.73367358	64.55939154	120.2061786	66.27565424	67.66591519	107.353151	68.00988503	68.59336513	72.24870695	71.42225067	72.95202426	139.7549619	86.03734324	100.974886
54940	167.7357391	171.0920297	175.2899366	161.6411225	161.8610045	209.1223394	157.3903171	140.8647928	186.8694898	160.5566826	161.0608247	156.1854023	149.9117006	158.4215119	153.5772699	101.3346353	125.5874102	155.7642584
